customer_id,loan_amount,loan_purpose,transaction_count,spending_ratio,default_flag
C00001,9160.701553259445,Home,143,0.7720716134303665,0
C00002,40556.42983578893,Business,208,0.5880442657064061,0
C00003,54039.03817847605,Home,247,0.6623247889166164,0
C00004,18820.998790825528,Home,453,0.3959241627794307,0
C00005,14495.124874252282,Education,121,0.16752420790139577,0
C00006,12166.880186017372,Car,472,0.21821746058621333,0
C00007,89982.7516713945,Education,61,0.787858380604834,0
C00008,15339.45166192533,Home,146,0.44522902189600133,0
C00009,37147.48879041409,Home,264,0.10841441312407492,0
C00010,18926.9297918424,Business,124,0.7687570965118217,0
C00011,18125.87864340916,Home,167,0.4484459383797371,0
C00012,11946.578995355556,Home,309,0.6853878788042864,0
C00013,10135.104839401332,Home,455,0.4839206994258255,0
C00014,39812.51576108397,Car,436,0.17119159857233276,1
C00015,9953.32570461261,Education,421,0.5308987074923627,1
C00016,31888.96779064779,Education,487,0.7981801934237264,0
C00017,23681.919336742092,Car,273,0.12431644785216017,0
C00018,40219.644627976355,Car,364,0.6892559382605309,0
C00019,13521.507860579924,Car,316,0.2648365569555355,0
C00020,52266.73121529465,Education,108,0.37570635589852996,0
C00021,19673.887627450345,Education,130,0.3608966582410268,1
C00022,175142.5997924527,Home,99,0.7291580359883838,0
C00023,6055.116717552783,Education,39,0.4531403321822868,0
C00024,153759.93330775292,Business,492,0.4130220007840994,0
C00025,19908.60245658342,Education,239,0.6726175761857435,0
C00026,26324.1403546531,Car,148,0.13423499401346345,0
C00027,13582.920741934697,Education,263,0.16051942056665666,0
C00028,6278.5539209455765,Home,413,0.11518219981340251,0
C00029,14433.145081478064,Education,40,0.5815880328052855,0
C00030,16439.63410707802,Car,171,0.46793129595542693,0
C00031,25495.095267225584,Business,405,0.7132154881077979,0
C00032,54009.253717732696,Car,441,0.44897303208082395,0
C00033,25657.330039274537,Business,165,0.25527370093339596,0
C00034,26017.207125619483,Home,332,0.6636031611730913,0
C00035,29956.27726935167,Home,126,0.306026697962836,0
C00036,5410.278479702748,Education,200,0.7549828475065463,1
C00037,5825.385160901591,Home,185,0.27529672149656836,0
C00038,6650.243894942526,Home,435,0.2174044570092008,0
C00039,16340.15596914446,Car,445,0.44532679405748155,0
C00040,4927.7013673573365,Car,14,0.13536058257917033,0
C00041,12684.930133537988,Education,342,0.12548820993783236,0
C00042,7371.677741725973,Education,21,0.44721018167882065,0
C00043,32538.274130220063,Education,68,0.25057481655635133,0
C00044,31260.93466143715,Education,330,0.10654684687662691,0
C00045,17317.706742994884,Car,317,0.3072398380020652,0
C00046,4817.60051904332,Education,308,0.4341571476926143,0
C00047,18220.17676468561,Education,259,0.3760020910222962,0
C00048,28649.775675904813,Home,348,0.1948286263122962,0
C00049,42132.779779310906,Education,102,0.5057723794823843,0
C00050,89565.34072392627,Business,328,0.597233093803346,0
C00051,53895.29944800647,Home,120,0.5728774135143068,0
C00052,25130.090285132996,Car,315,0.3756333448982908,0
C00053,17532.4184274815,Business,377,0.19631730581977982,0
C00054,12156.906493714336,Education,304,0.44964074144350596,0
C00055,65155.33822914434,Home,435,0.7233022284559579,0
C00056,25166.58656608282,Education,482,0.428105994258863,0
C00057,36476.932991164496,Home,345,0.23697673481911136,1
C00058,13736.670430400658,Education,26,0.16513731216561128,0
C00059,8162.230429787389,Business,229,0.7607486466692157,0
C00060,15990.176203636393,Car,496,0.6201065862138405,0
C00061,17286.08959431202,Business,308,0.3190768808903377,0
C00062,25678.720888238182,Business,314,0.3067466843436222,0
C00063,12210.516758990505,Car,14,0.7266529407058183,0
C00064,22470.888156125955,Home,138,0.22429776436675583,1
C00065,56509.5587072287,Home,332,0.4745261027595812,0
C00066,5776.947525373127,Car,121,0.599452992625511,0
C00067,4050.0233537213935,Education,33,0.3774732463759828,0
C00068,59678.73742429754,Home,38,0.127931639780162,0
C00069,6830.128958511181,Business,408,0.2594311696036651,0
C00070,16251.53145149237,Car,141,0.7312656962096616,0
C00071,35838.70540933643,Business,53,0.4661832767876881,1
C00072,21007.169539099817,Home,330,0.6708088725415788,0
C00073,20772.176393102596,Car,385,0.4889798799534322,0
C00074,23339.846246251327,Car,216,0.7605214669986123,0
C00075,165209.77011225134,Home,391,0.7363938528897916,1
C00076,91537.13031414464,Home,225,0.4380216294072814,0
C00077,12645.032798659047,Car,253,0.32279181780544464,1
C00078,51057.64628843196,Education,40,0.5211681511419273,0
C00079,33004.73140477136,Car,413,0.5724213771686315,0
C00080,21685.262423247965,Education,275,0.44884856461044215,0
C00081,10654.151988290083,Business,20,0.6755982547665661,1
C00082,31605.7525319094,Education,91,0.22832996524941798,0
C00083,17243.03595080161,Education,491,0.3340882814368227,0
C00084,16258.188037053409,Home,165,0.5804634501565171,0
C00085,11924.410957569737,Car,175,0.27267870577129005,0
C00086,49013.88071379389,Business,217,0.4078913212785438,0
C00087,11918.052961201767,Car,33,0.7746134826398049,1
C00088,11976.286023252544,Education,304,0.5381131808806019,0
C00089,41041.95905912882,Education,384,0.764340064248788,0
C00090,19624.53063658611,Education,188,0.6057089822740032,0
C00091,20051.619067509717,Car,341,0.6072667387670211,0
C00092,50327.89562101757,Education,59,0.514300021583144,0
C00093,63004.44065226808,Car,499,0.19954601637030878,1
C00094,4014.722155844433,Business,16,0.46380000362040147,1
C00095,19870.283360673795,Business,109,0.27686634035242974,0
C00096,7128.017166455473,Car,90,0.7990707880458962,0
C00097,16164.379915293652,Business,250,0.2868733580708544,0
C00098,21908.086081194586,Home,333,0.26148009042301396,0
C00099,16582.71789781836,Education,190,0.5367182085868313,1
C00100,9699.015412408931,Education,302,0.4576641692537411,0
C00101,9313.262046422116,Education,490,0.11494703927815991,0
C00102,39432.79506914538,Home,92,0.1906732252947289,0
C00103,75195.5885172769,Education,63,0.6677300592792589,0
C00104,4237.0326514080825,Car,99,0.4385843686032924,0
C00105,16947.999244138482,Education,448,0.20221065037611008,1
C00106,39559.90205663476,Car,212,0.4256697939850136,0
C00107,21459.37714315389,Business,40,0.27720435815768263,1
